Дата,Цена
2025-07-14 13:00:00+00:00,405.35
2025-07-14 14:00:00+00:00,403.3
2025-07-14 15:00:00+00:00,417.0
2025-07-14 16:00:00+00:00,420.8
2025-07-14 17:00:00+00:00,419.65
2025-07-14 18:00:00+00:00,421.3
2025-07-14 19:00:00+00:00,421.95
2025-07-14 20:00:00+00:00,422.25
2025-07-15 03:00:00+00:00,423.0
2025-07-15 04:00:00+00:00,422.35
2025-07-15 05:00:00+00:00,421.55
2025-07-15 06:00:00+00:00,420.4
2025-07-15 07:00:00+00:00,418.45
2025-07-15 08:00:00+00:00,418.4
2025-07-15 09:00:00+00:00,417.8
2025-07-15 10:00:00+00:00,419.2
2025-07-15 11:00:00+00:00,418.6
2025-07-15 12:00:00+00:00,417.7
2025-07-15 13:00:00+00:00,419.3
2025-07-15 14:00:00+00:00,420.55
2025-07-15 15:00:00+00:00,420.5
2025-07-15 16:00:00+00:00,420.8
2025-07-15 17:00:00+00:00,419.85
2025-07-15 18:00:00+00:00,420.0
2025-07-15 19:00:00+00:00,420.1
2025-07-15 20:00:00+00:00,419.15
2025-07-16 03:00:00+00:00,419.15
2025-07-16 04:00:00+00:00,419.75
2025-07-16 05:00:00+00:00,420.4
2025-07-16 06:00:00+00:00,420.55
2025-07-16 07:00:00+00:00,418.0
2025-07-16 08:00:00+00:00,418.45
2025-07-16 09:00:00+00:00,421.9
2025-07-16 10:00:00+00:00,422.75
2025-07-16 11:00:00+00:00,424.9
2025-07-16 12:00:00+00:00,423.15
2025-07-16 13:00:00+00:00,423.25
2025-07-16 14:00:00+00:00,421.7
2025-07-16 15:00:00+00:00,421.35
2025-07-16 16:00:00+00:00,422.75
2025-07-16 17:00:00+00:00,422.5
2025-07-16 18:00:00+00:00,421.1
2025-07-16 19:00:00+00:00,421.45
2025-07-16 20:00:00+00:00,422.0
2025-07-17 03:00:00+00:00,421.95
2025-07-17 04:00:00+00:00,423.6
2025-07-17 05:00:00+00:00,423.9
2025-07-17 06:00:00+00:00,425.55
2025-07-17 07:00:00+00:00,427.85
2025-07-17 08:00:00+00:00,426.95
2025-07-17 09:00:00+00:00,426.35
2025-07-17 10:00:00+00:00,426.2
2025-07-17 11:00:00+00:00,424.1
2025-07-17 12:00:00+00:00,423.9
2025-07-17 13:00:00+00:00,422.9
