Дата,Цена
2023-07-10 00:00:00+00:00,661.4
2023-07-17 00:00:00+00:00,671.4
2023-07-24 00:00:00+00:00,721.4
2023-07-31 00:00:00+00:00,729.8
2023-08-07 00:00:00+00:00,772.2
2023-08-14 00:00:00+00:00,724.4
2023-08-21 00:00:00+00:00,725.0
2023-08-28 00:00:00+00:00,740.4
2023-09-04 00:00:00+00:00,717.6
2023-09-11 00:00:00+00:00,645.2
2023-09-18 00:00:00+00:00,666.0
2023-10-16 00:00:00+00:00,619.6
2023-10-23 00:00:00+00:00,578.0
2023-10-30 00:00:00+00:00,615.6
2023-11-06 00:00:00+00:00,593.0
2023-11-13 00:00:00+00:00,614.8
2023-11-20 00:00:00+00:00,626.2
2023-11-27 00:00:00+00:00,602.4
2023-12-04 00:00:00+00:00,573.6
2023-12-11 00:00:00+00:00,566.8
2023-12-18 00:00:00+00:00,565.4
2023-12-25 00:00:00+00:00,556.4
2024-01-01 00:00:00+00:00,579.4
2024-01-08 00:00:00+00:00,640.0
2024-01-15 00:00:00+00:00,635.4
2024-01-22 00:00:00+00:00,675.8
2024-01-29 00:00:00+00:00,677.2
2024-02-05 00:00:00+00:00,658.8
2024-02-12 00:00:00+00:00,660.0
2024-02-19 00:00:00+00:00,640.4
2024-02-26 00:00:00+00:00,657.4
2024-03-04 00:00:00+00:00,655.0
2024-03-11 00:00:00+00:00,629.8
2024-03-18 00:00:00+00:00,605.0
2024-03-25 00:00:00+00:00,609.8
2024-04-01 00:00:00+00:00,608.6
2024-04-08 00:00:00+00:00,608.0
2024-04-15 00:00:00+00:00,601.0
2024-04-22 00:00:00+00:00,587.2
2024-04-29 00:00:00+00:00,585.8
2024-05-06 00:00:00+00:00,574.8
2024-05-13 00:00:00+00:00,634.0
2024-05-20 00:00:00+00:00,581.2
2024-05-27 00:00:00+00:00,555.4
2024-06-03 00:00:00+00:00,563.2
2024-06-10 00:00:00+00:00,554.8
2024-06-17 00:00:00+00:00,510.8
2024-06-24 00:00:00+00:00,502.6
2024-07-01 00:00:00+00:00,488.6
2024-07-08 00:00:00+00:00,454.4
2024-07-15 00:00:00+00:00,463.0
2024-07-22 00:00:00+00:00,460.8
2024-07-29 00:00:00+00:00,448.4
2024-08-05 00:00:00+00:00,435.4
2024-08-12 00:00:00+00:00,405.0
2024-08-19 00:00:00+00:00,374.4
2024-08-26 00:00:00+00:00,346.4
2024-09-02 00:00:00+00:00,349.0
2024-09-09 00:00:00+00:00,351.8
2024-09-16 00:00:00+00:00,369.6
2024-09-23 00:00:00+00:00,361.6
2024-09-30 00:00:00+00:00,336.6
2024-10-07 00:00:00+00:00,339.4
2024-10-14 00:00:00+00:00,343.4
2024-10-21 00:00:00+00:00,307.6
2024-10-28 00:00:00+00:00,288.8
2024-11-04 00:00:00+00:00,320.6
2024-11-11 00:00:00+00:00,316.4
2024-11-18 00:00:00+00:00,272.0
2024-11-25 00:00:00+00:00,275.2
2024-12-02 00:00:00+00:00,259.8
2024-12-09 00:00:00+00:00,250.4
2024-12-16 00:00:00+00:00,292.8
2024-12-23 00:00:00+00:00,295.2
2024-12-30 00:00:00+00:00,303.4
2025-01-06 00:00:00+00:00,310.4
2025-01-13 00:00:00+00:00,350.8
2025-01-20 00:00:00+00:00,350.2
2025-01-27 00:00:00+00:00,335.0
2025-02-03 00:00:00+00:00,303.0
2025-02-10 00:00:00+00:00,319.0
2025-02-17 00:00:00+00:00,329.6
2025-02-24 00:00:00+00:00,333.5
2025-03-03 00:00:00+00:00,330.3
2025-03-10 00:00:00+00:00,331.2
2025-03-17 00:00:00+00:00,294.4
2025-03-24 00:00:00+00:00,273.5
2025-03-31 00:00:00+00:00,268.3
2025-04-07 00:00:00+00:00,256.8
2025-04-14 00:00:00+00:00,248.3
2025-04-21 00:00:00+00:00,283.6
2025-04-28 00:00:00+00:00,255.4
2025-05-05 00:00:00+00:00,258.7
2025-05-12 00:00:00+00:00,265.0
2025-05-19 00:00:00+00:00,250.0
2025-05-26 00:00:00+00:00,253.0
2025-06-02 00:00:00+00:00,272.4
2025-06-09 00:00:00+00:00,260.1
2025-06-16 00:00:00+00:00,258.1
2025-06-23 00:00:00+00:00,269.1
2025-06-30 00:00:00+00:00,287.4
2025-07-07 00:00:00+00:00,283.8
2021-07-12 00:00:00+00:00,1560.8
2021-07-19 00:00:00+00:00,1539.0
2021-07-26 00:00:00+00:00,1514.8
2021-08-02 00:00:00+00:00,1506.0
2021-08-09 00:00:00+00:00,1513.8
2021-08-16 00:00:00+00:00,1441.6
2021-08-23 00:00:00+00:00,1430.2
2021-08-30 00:00:00+00:00,1541.0
2021-09-06 00:00:00+00:00,1530.8
2021-09-13 00:00:00+00:00,1570.4
2021-09-20 00:00:00+00:00,1525.4
2021-09-27 00:00:00+00:00,1481.8
