Дата,Цена
2024-07-08 00:00:00+00:00,481.4
2024-07-09 00:00:00+00:00,457.2
2024-07-10 00:00:00+00:00,433.0
2024-07-11 00:00:00+00:00,457.8
2024-07-12 00:00:00+00:00,454.4
2024-07-15 00:00:00+00:00,442.4
2024-07-16 00:00:00+00:00,452.0
2024-07-17 00:00:00+00:00,442.0
2024-07-18 00:00:00+00:00,454.6
2024-07-19 00:00:00+00:00,463.0
2024-07-22 00:00:00+00:00,465.2
2024-07-23 00:00:00+00:00,467.4
2024-07-24 00:00:00+00:00,467.0
2024-07-25 00:00:00+00:00,472.4
2024-07-26 00:00:00+00:00,460.8
2024-07-29 00:00:00+00:00,446.0
2024-07-30 00:00:00+00:00,456.8
2024-07-31 00:00:00+00:00,457.8
2024-08-01 00:00:00+00:00,449.4
2024-08-02 00:00:00+00:00,448.4
2024-08-05 00:00:00+00:00,438.2
2024-08-06 00:00:00+00:00,455.8
2024-08-07 00:00:00+00:00,452.8
2024-08-08 00:00:00+00:00,438.0
2024-08-09 00:00:00+00:00,435.4
2024-08-12 00:00:00+00:00,427.4
2024-08-13 00:00:00+00:00,424.2
2024-08-14 00:00:00+00:00,415.0
2024-08-15 00:00:00+00:00,409.8
2024-08-16 00:00:00+00:00,405.0
2024-08-19 00:00:00+00:00,402.8
2024-08-20 00:00:00+00:00,395.4
2024-08-21 00:00:00+00:00,381.2
2024-08-22 00:00:00+00:00,366.0
2024-08-23 00:00:00+00:00,374.4
2024-08-26 00:00:00+00:00,378.6
2024-08-27 00:00:00+00:00,363.4
2024-08-28 00:00:00+00:00,358.0
2024-08-29 00:00:00+00:00,361.4
2024-08-30 00:00:00+00:00,346.4
2024-09-02 00:00:00+00:00,323.8
2024-09-03 00:00:00+00:00,328.0
2024-09-04 00:00:00+00:00,348.0
2024-09-05 00:00:00+00:00,338.8
2024-09-06 00:00:00+00:00,349.0
2024-09-09 00:00:00+00:00,369.4
2024-09-10 00:00:00+00:00,359.0
2024-09-11 00:00:00+00:00,339.0
2024-09-12 00:00:00+00:00,340.6
2024-09-13 00:00:00+00:00,351.8
2024-09-16 00:00:00+00:00,356.0
2024-09-17 00:00:00+00:00,357.6
2024-09-18 00:00:00+00:00,357.4
2024-09-19 00:00:00+00:00,357.8
2024-09-20 00:00:00+00:00,369.6
2024-09-23 00:00:00+00:00,374.4
2024-09-24 00:00:00+00:00,379.0
2024-09-25 00:00:00+00:00,368.8
2024-09-26 00:00:00+00:00,363.0
2024-09-27 00:00:00+00:00,361.6
2024-09-30 00:00:00+00:00,349.8
2024-10-01 00:00:00+00:00,350.8
2024-10-02 00:00:00+00:00,339.0
2024-10-03 00:00:00+00:00,340.0
2024-10-04 00:00:00+00:00,336.6
2024-10-07 00:00:00+00:00,336.4
2024-10-08 00:00:00+00:00,335.2
2024-10-09 00:00:00+00:00,339.6
2024-10-10 00:00:00+00:00,339.4
2024-10-11 00:00:00+00:00,339.4
2024-10-14 00:00:00+00:00,345.8
2024-10-15 00:00:00+00:00,354.2
2024-10-16 00:00:00+00:00,349.2
2024-10-17 00:00:00+00:00,340.0
2024-10-18 00:00:00+00:00,343.4
2024-10-21 00:00:00+00:00,342.2
2024-10-22 00:00:00+00:00,337.6
2024-10-23 00:00:00+00:00,328.2
2024-10-24 00:00:00+00:00,329.8
2024-10-25 00:00:00+00:00,307.6
2024-10-28 00:00:00+00:00,302.0
2024-10-29 00:00:00+00:00,307.0
2024-10-30 00:00:00+00:00,296.6
2024-10-31 00:00:00+00:00,288.0
2024-11-01 00:00:00+00:00,292.0
2024-11-02 00:00:00+00:00,288.8
2024-11-05 00:00:00+00:00,293.4
2024-11-06 00:00:00+00:00,295.2
2024-11-07 00:00:00+00:00,304.8
2024-11-08 00:00:00+00:00,320.6
2024-11-11 00:00:00+00:00,322.8
2024-11-12 00:00:00+00:00,312.4
2024-11-13 00:00:00+00:00,312.2
2024-11-14 00:00:00+00:00,310.2
2024-11-15 00:00:00+00:00,316.4
2024-11-18 00:00:00+00:00,305.6
2024-11-19 00:00:00+00:00,296.8
2024-11-20 00:00:00+00:00,284.8
2024-11-21 00:00:00+00:00,280.4
2024-11-22 00:00:00+00:00,272.0
2024-11-25 00:00:00+00:00,263.0
2024-11-26 00:00:00+00:00,243.6
2024-11-27 00:00:00+00:00,261.6
2024-11-28 00:00:00+00:00,269.0
2024-11-29 00:00:00+00:00,275.2
2024-12-02 00:00:00+00:00,277.0
2024-12-03 00:00:00+00:00,258.2
2024-12-04 00:00:00+00:00,248.2
2024-12-05 00:00:00+00:00,261.8
