Дата,Цена
2023-07-01 00:00:00+00:00,716.6
2023-08-01 00:00:00+00:00,746.6
2023-09-01 00:00:00+00:00,666.0
2023-10-01 00:00:00+00:00,577.8
2023-11-01 00:00:00+00:00,613.4
2023-12-01 00:00:00+00:00,556.4
2024-01-01 00:00:00+00:00,695.4
2024-02-01 00:00:00+00:00,652.6
2024-03-01 00:00:00+00:00,609.8
2024-04-01 00:00:00+00:00,577.8
2024-05-01 00:00:00+00:00,555.4
2024-06-01 00:00:00+00:00,502.6
2024-07-01 00:00:00+00:00,457.8
2024-08-01 00:00:00+00:00,346.4
2024-09-01 00:00:00+00:00,349.8
2024-10-01 00:00:00+00:00,288.0
2024-11-01 00:00:00+00:00,275.2
2024-12-01 00:00:00+00:00,312.4
2025-01-01 00:00:00+00:00,335.0
2025-02-01 00:00:00+00:00,333.6
2025-03-01 00:00:00+00:00,282.0
2025-04-01 00:00:00+00:00,268.4
2025-05-01 00:00:00+00:00,261.5
2025-06-01 00:00:00+00:00,280.0
2025-07-01 00:00:00+00:00,284.0
2021-07-01 00:00:00+00:00,1514.8
2021-08-01 00:00:00+00:00,1484.4
2021-09-01 00:00:00+00:00,1488.0
2021-10-01 00:00:00+00:00,1461.2
2021-11-01 00:00:00+00:00,1247.0
2021-12-01 00:00:00+00:00,872.4
2022-01-01 00:00:00+00:00,630.0
2022-02-01 00:00:00+00:00,296.0
2022-03-01 00:00:00+00:00,567.0
2022-04-01 00:00:00+00:00,399.0
2022-05-01 00:00:00+00:00,336.0
2022-06-01 00:00:00+00:00,302.4
2022-07-01 00:00:00+00:00,409.0
2022-08-01 00:00:00+00:00,428.0
2022-09-01 00:00:00+00:00,363.2
2022-10-01 00:00:00+00:00,453.0
2022-11-01 00:00:00+00:00,506.4
2022-12-01 00:00:00+00:00,437.0
2023-01-01 00:00:00+00:00,488.2
2023-02-01 00:00:00+00:00,475.6
2023-03-01 00:00:00+00:00,480.8
2023-04-01 00:00:00+00:00,496.6
2023-05-01 00:00:00+00:00,574.8
2023-06-01 00:00:00+00:00,613.0
2023-07-01 00:00:00+00:00,716.6
2020-07-01 00:00:00+00:00,1975.0
2020-08-01 00:00:00+00:00,2350.0
2020-09-01 00:00:00+00:00,2136.2
2020-10-01 00:00:00+00:00,2096.0
2020-11-01 00:00:00+00:00,2217.2
2020-12-01 00:00:00+00:00,1989.0
2021-01-01 00:00:00+00:00,1979.0
2021-02-01 00:00:00+00:00,2012.0
2021-03-01 00:00:00+00:00,1738.0
2021-04-01 00:00:00+00:00,1683.8
2021-05-01 00:00:00+00:00,1671.6
2021-06-01 00:00:00+00:00,1655.6
2021-07-01 00:00:00+00:00,1514.8
