Дата,Цена
2025-05-12 00:00:00+00:00,99.72
2025-05-13 00:00:00+00:00,99.17
2025-05-14 00:00:00+00:00,97.0
2025-05-15 00:00:00+00:00,97.25
2025-05-16 00:00:00+00:00,97.19
2025-05-17 00:00:00+00:00,98.32
2025-05-18 00:00:00+00:00,98.89
2025-05-19 00:00:00+00:00,96.97
2025-05-20 00:00:00+00:00,96.3
2025-05-21 00:00:00+00:00,95.65
2025-05-22 00:00:00+00:00,95.18
2025-05-23 00:00:00+00:00,95.5
2025-05-26 00:00:00+00:00,92.25
2025-05-27 00:00:00+00:00,93.59
2025-05-28 00:00:00+00:00,95.78
2025-05-29 00:00:00+00:00,94.17
2025-05-30 00:00:00+00:00,93.9
2025-05-31 00:00:00+00:00,93.87
2025-06-01 00:00:00+00:00,91.89
2025-06-02 00:00:00+00:00,93.47
2025-06-03 00:00:00+00:00,95.41
2025-06-04 00:00:00+00:00,95.1
2025-06-05 00:00:00+00:00,95.44
2025-06-06 00:00:00+00:00,93.27
2025-06-07 00:00:00+00:00,93.77
2025-06-08 00:00:00+00:00,93.64
2025-06-09 00:00:00+00:00,94.27
2025-06-10 00:00:00+00:00,93.5
2025-06-11 00:00:00+00:00,93.44
2025-06-13 00:00:00+00:00,98.12
2025-06-14 00:00:00+00:00,98.55
2025-06-15 00:00:00+00:00,99.18
2025-06-16 00:00:00+00:00,96.69
2025-06-17 00:00:00+00:00,97.85
2025-06-18 00:00:00+00:00,97.37
2025-06-19 00:00:00+00:00,97.97
2025-06-20 00:00:00+00:00,101.75
2025-06-23 00:00:00+00:00,104.23
2025-06-24 00:00:00+00:00,106.45
2025-06-25 00:00:00+00:00,107.48
2025-06-26 00:00:00+00:00,106.46
2025-06-27 00:00:00+00:00,106.75
2025-06-28 00:00:00+00:00,107.13
2025-06-29 00:00:00+00:00,107.28
2025-06-30 00:00:00+00:00,106.22
2025-07-01 00:00:00+00:00,104.69
2025-07-02 00:00:00+00:00,102.57
2025-07-03 00:00:00+00:00,99.94
2025-07-04 00:00:00+00:00,99.38
2025-07-05 00:00:00+00:00,99.39
2025-07-06 00:00:00+00:00,100.15
2025-07-07 00:00:00+00:00,96.6
2025-07-08 00:00:00+00:00,94.38
2025-07-09 00:00:00+00:00,94.45
2025-07-10 00:00:00+00:00,93.46
2025-07-11 00:00:00+00:00,72.79
2025-07-12 00:00:00+00:00,73.29
2025-07-13 00:00:00+00:00,72.8
2025-07-14 00:00:00+00:00,74.91
2025-07-15 00:00:00+00:00,78.85
2025-07-16 00:00:00+00:00,79.38
2025-07-17 00:00:00+00:00,78.02
2025-07-18 00:00:00+00:00,81.0
2025-07-19 00:00:00+00:00,82.76
2025-07-20 00:00:00+00:00,82.9
2025-07-21 00:00:00+00:00,82.05
2025-07-22 00:00:00+00:00,82.51
2025-07-23 00:00:00+00:00,82.6
2025-07-24 00:00:00+00:00,82.28
